placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
223-222@63f-yc3-mzf,sg:72f93d42072742a8b4bedeced2bf7a06,Carilion Clinic Plastic and Reconstructive Surgery Blacksburg,817 Davis St Ste 2,Blacksburg,621111,37.186659999999996,-80.414146,24060
224-222@63r-syb-zvf,sg:274199d3d3504474aca6e0eb08d99504,Integrated Sports Medicine & Physical Therapy,19500 Sandridge Way Ste 230,Lansdowne,621340,39.076214,-77.480354,20176
222-222@63f-yc2-d7q,sg:97b7ddc3493841f6890db56bfdb890e7,The Farmhouse Restaurant,285 Ridinger St,Christiansburg,722511,37.153422,-80.421832,24073
zzz-222@63f-yb6-c3q,sg:b4b9c31aa15c429d9aa6b54171ba4f10,Haven Heights Park,Milton Lane & Haven Dr,Radford,712190,37.130069,-80.544028,24141
zzy-222@63f-tx7-td9,sg:9215f3e63a184e99b976d5fe2c2ab0a6,Randall G Samples M D,5562 Cougar Trail Rd,Dublin,621111,37.09709,-80.718259,24084
22c-223@63f-yry-6x5,sg:dc7b38daa91645fb93289aa0e4d26017,7-Eleven,1350 N Main St,Blacksburg,445120,37.245967,-80.414612,24060
222-223@63f-tx8-59f,sg:64cd15e52e5d486e92aadabaf462de63,Pulaski County Sr High,5414 Cougar Trail Rd,Dublin,611110,37.094489,-80.71863,24084
222-222@63f-yc3-m8v,sg:87bd071c14994d23a4995f8ec46bab71,LewisGale Physicians,825 Davis St,Merrimac,621111,37.187657,-80.414849,24060
227-222@63f-rw3-v9f,sg:b8388a90e0aa4be592ccc2185e8b28b1,Lets Learn About CBD,275 Depot St NE,Christiansburg,621111,37.136095000000005,-80.409375,24073
22b-223@63r-syc-nyv,sg:bd85082e45a24da7aa94018abeb79b04,Urology Group,19415 Deerfield Ave Ste 112,Lansdowne,621111,39.079412,-77.47751600000001,20176
228-222@63r-syc-qj9,sg:69e0deb79de44100887a586bc79f31ba,Loudoun Orthodontics,19465 Deerfield Ave Ste 304,Lansdowne,621210,39.078223,-77.478473,20176
zzy-225@63f-s3s-swk,sg:892069b82f814260bd9bc8680a779391,Jason V Naldo DPM,2900 Lamb Cir Ste L 760,Christiansburg,621111,37.088546,-80.505525,24073
zzw-223@63r-syc-r8v,sg:e6a62659372945898c8881059de321dc,Leesburg Internal Medicine and Primary Care LLC,19455 Deerfield Ave,Lansdowne,621111,39.077653000000005,-77.477298,20176
222-228@63f-s3r-5mk,sg:b18e66717de64e9e98c5c6004db26044,Professional Rehab Associates,2875 Barn Rd,Christiansburg,621340,37.091805,-80.505749,24073
zzw-223@63r-syc-qj9,sg:ce8540210d114d39a63bfce5a4d02494,K Todd Burnett MSPT,19465 Deerfield Ave,Lansdowne,621340,39.078215,-77.478492,20176
226-222@63r-ss2-8y9,sg:fc3f51f284de49bbb2321ca68a839101,Lin's James Cafe,671 Potomac Station Dr NE,Leesburg,722511,39.099517999999996,-77.526134,20176
zzw-22j@63f-s3r-2tv,sg:420ac9fac42e45ac8f742aac3f78d7ef,Melissa W Weiss NP,2900 Lamb Cir Ste 300,Christiansburg,621111,37.088861,-80.505151,24073
222-222@63f-rw3-zxq,sg:4ec68a27ca124f5b89bac4204e9fbdd0,Sayers Marta C MD Facc,1201 Elm St,Christiansburg,621111,37.144659999999995,-80.41469000000001,24073
22f-222@63r-syc-nyv,sg:7549db34f9464155a15a05c6f8a532ed,Lansdowne Orthodontics,19415 Deerfield Ave Ste 306,Lansdowne,621210,39.079418,-77.47751,20176
zzy-223@63r-ss2-d9z,sg:8b304023797941da8ab4a392d512cb47,Ronald Buro,230 Fort Evans Rd NE,Leesburg,621210,39.110583,-77.536486,20176
zzy-225@63f-s3r-2tv,sg:2106e9e5abad4c85a608ff91f784e33f,Patricia Beauzile M D,2900 Lamb Cir Ste 202,Christiansburg,621111,37.089265999999995,-80.505619,24073
222-223@63f-ybx-26k,sg:2c761333c4be43a4bb28fac2f33ba6b9,Joco Mart,1935 Cambria St NE,Christiansburg,445110,37.151617,-80.41067,24073
222-22d@63r-syc-nyv,sg:7d024da5556b464c82fc8c7be1ba4625,Mari Parker FNP BC,19415 Deerfield Ave,Lansdowne,621111,39.079411,-77.477526,20176
225-222@63f-yj5-975,sg:07fd1fdfd8d242a6b421a0e44e56b078,Ciro's Pizza,248 E Main St,Dublin,722511,37.103835,-80.68535899999999,24084
225-223@63f-ybt-zmk,sg:fcca9588a7d54e099886e21fab91ef9b,Sleep Disorders Network of Virginia,2955 Market St Ste B1,Christiansburg,621111,37.16985,-80.419478,24073
222-222@63f-yc3-rrk,sg:9fe9a6722fc948e09bf5a3c1499ca958,Jerome H Goldschmidt Jr M D,2600 Research Center Dr Ste A,Blacksburg,621111,37.195453,-80.404412,24060
22p-223@63r-sy9-nh5,sg:191213d3d8874a83bba8f7ea3955cc15,T'KiLa Mexican Kitchen & Bar,19345 Promenade Dr,Lansdowne,722511,39.081599,-77.495297,20176
225-222@63f-tx5-xh5,sg:36b05479d32b4e92b30dfe6aa2053f0e,Alliance Xpress Urgent Care,5275 Alexander Rd,Dublin,621493,37.081801,-80.69364,24084
