"safegraph_place","visitor_home_cbg","total_visitors"
"sg:3ac43ac7989b40c386fc8ba2448a22ef",10030103003,5
"sg:5597636f115c41a380c25a7530bd7ce1",10730111101,4
"sg:f7699f537a574c5ab5c5f7a17054097f",11150405011,4
"sg:7cc0f8bf550343daace4e4c6475cab8f",11170303301,6
"sg:427a8540011e4ad7846df1f03f069f1b",11250126001,4
"sg:d2830aa191b448138d8e9761234a1e28",20900007002,4
"sg:427a8540011e4ad7846df1f03f069f1b",50070201012,4
"sg:f7699f537a574c5ab5c5f7a17054097f",50554805003,4
"sg:3ac43ac7989b40c386fc8ba2448a22ef",60730136013,4
"sg:8e8a2d1512594dbfb316989199e030f6",60730136013,4
"sg:546914554ded41cf8cd1cdc11cea30ac",60855081021,4
"sg:7cc0f8bf550343daace4e4c6475cab8f",80050848002,6
"sg:8e8a2d1512594dbfb316989199e030f6",80050848002,4
"sg:b8388a90e0aa4be592ccc2185e8b28b1",80410051083,4
"sg:6cc5e8cb83a84370b6dee7a5b1864226",80679707042,4
"sg:3ac43ac7989b40c386fc8ba2448a22ef",90010304001,4
"sg:bb3409fe37274b9ba50c4d7e359790d8",100030013004,4
"sg:bb3409fe37274b9ba50c4d7e359790d8",100050510042,4
"sg:8e8a2d1512594dbfb316989199e030f6",100050513063,4
"sg:3ac43ac7989b40c386fc8ba2448a22ef",110010016004,8
"sg:7cc0f8bf550343daace4e4c6475cab8f",110010016004,12
"sg:8754b23c61b84add83913e2957ebf833",110010016004,8
"sg:bd537848cce7430e94c602c527e83fb3",110010016004,4
"sg:7d5d49a3f0c747ff81961f20d4efe7f0",110010029002,4
"sg:eb127029aba64da0a208641c774cd760",110010029002,4
"sg:3ac43ac7989b40c386fc8ba2448a22ef",110010053012,4
"sg:1f366bfe14814bccbbc962d3971db81c",110010099012,16
"sg:2b12c241bd94430ab78509382bf93841",110010106002,4
"sg:a2fc769ad104456e89b5e7613979a356",120010015191,4
"sg:bca668d773384b9096f2c71525252472",120050027043,4
"sg:65d2c0b437704107b0f2f9d1afb05a7c",120110433021,4
"sg:25d381c5fd4e40b4a1e5a42253683166",120110706012,4
"sg:427a8540011e4ad7846df1f03f069f1b",120210101023,4
"sg:8754b23c61b84add83913e2957ebf833",120270104032,4
"sg:7cc0f8bf550343daace4e4c6475cab8f",120310143283,4
"sg:427a8540011e4ad7846df1f03f069f1b",120330012022,4
"sg:005837d9f50f45079db676fec7d1039c",120350601072,4
"sg:9df450dfc3af4ef2a69c8d84af1cf365",120570109001,4
"sg:163d96d4a62e408784981b31f6b98ce6",120570128002,4
"sg:427a8540011e4ad7846df1f03f069f1b",120610506032,4
"sg:6f8d2cef6fce4472911012a41bf03975",120710019101,4
"sg:8a483bdf17ea4451bbe7029bc41267d3",120710019132,4
"sg:8144cd3a2ac44a03a4e764b739d27355",120730024082,4
"sg:50d01bc4b6a6456182c8cd7d35b62043",120850002002,4
"sg:4c805d827ceb4ea19787fca6b2a877cf",120860008051,4
"sg:bd537848cce7430e94c602c527e83fb3",120860026002,4
"sg:f7699f537a574c5ab5c5f7a17054097f",120860101931,6
"sg:72254862c3654574a43bfa6372a4ca3d",120950171041,4
"sg:6f8d2cef6fce4472911012a41bf03975",120990007021,4
"sg:b202fd82990c42c5912506817d0129e1",120990049021,4
"sg:12fbd88eba564b50ba670adb6f41c865",121010321131,4
"sg:f946d03be95144ffb067e9ed1a9dcb6f",121090214061,4
"sg:361cded9d00b476fa624fe8d07183c22",121113821083,4
"sg:021d74af91bb48beae23d717dded2787",121130107072,4
