date,safegraph_place,visitor_home_cbg,number
2019-01-07,sg:dde9ad1b8739420ab033397aa1bc290c,511076105053,4
2019-01-07,sg:4c805d827ceb4ea19787fca6b2a877cf,
2019-01-07,sg:7da038232f734282be74bd1c1231d0a5,
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210213001,6
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,540639503001,5
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,517600502003,5
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,510639202001,5
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210215002,5
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210207004,5
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511610305001,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210209001,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210213002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,471790617011,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210212001,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,510719302002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210212002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210204002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210202021,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511610303001,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210209002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511730306002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511610310002,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,540550011001,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210205003,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210208004,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,510670201013,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210211003,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210209003,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210202011,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511210210001,4
2019-01-07,sg:12fbd88eba564b50ba670adb6f41c865,511552106002,4
